,CATEGORY OF PRODUCT
0,Packaging
1,Ambient
2,Dips & Sauce
3,Chilled
4,Frozen
5,Drinks Can
6,Drinks Bottle
7,Equipment
8,Miscellaneous
9,Uniform
10,
